Code;RA;N/S;DEC;Diameter;mag;Name;Alias;
M95;10.732706;+;11.703556;7.4;9.7;;NGC3351;
M96;10.779361;+;11.820028;7.1;9.2;;NGC3368;
M97;11.246606;+;55.018944;3.2;11.2;Owl nebula;NGC3587;
M98;12.230075;+;14.900206;9.5;10.1;;NGC4192;
M99;12.313758;+;14.416972;5.4;9.8;;NGC4254;
M100;12.381933;+;15.822583;6.9;9.4;;NGC4321;
M101;14.053472;+;54.348917;26.9;7.7;Pinwheel galaxy;NGC5457;
M102;15.108194;+;55.763333;4.7;10.7;Spindle galaxy;NGC5866;
M103;1.5563890;+;60.650000;6;7.4;;NGC581;
M104;12.666518;-;11.623020;8.9;8.3;Sombrero galaxy;NGC4594;
M105;10.797119;+;12.581889;4.5;9.3;;NGC3379;
M106;12.316003;+;47.304439;18.2;8.3;;NGC4258;
M107;16.542206;-;13.053194;10;8.1;;NGC6171;
M108;11.191942;+;55.674000;8.3;10.1;;NGC3556;
M109;11.959978;+;53.374639;7.6;9.8;;NGC3992;
M110;0.6728220;+;41.685364;17.4;8;;NGC205;
