Code	RA		N/S	DEC	Diameter	mag	Name
IC105	1.412833	+	2.075000	0.7	14.7	-
IC106	1.411583	-	1.586944	1.5	13.0	-
IC107	1.423528	+	14.864722	1.0	12.9	-
IC108	1.410833	-	12.635556	0.9	14.2	-
IC109	1.420250	+	2.067500	1.1	13.5	-
IC110	1.430556	+	33.526667	0.0	0.0	-
IC111	1.430333	+	33.504444	0.0	0.0	-
IC112	1.434139	+	11.443056	0.8	13.8	-
IC113	1.440417	+	19.191944	0.4	15.0	-
IC114	1.439583	+	9.910278	1.3	14.2	-
IC115	1.448472	+	19.214444	0.5	14.0	-
IC116	1.447361	-	4.982222	0.9	13.7	-
IC117	1.455833	-	1.864444	0.0	0.0	-
IC118	1.460000	-	4.996944	0.5	15.1	-
IC119	1.465250	-	2.040000	1.3	13.7	-
IC120	1.470222	-	1.915000	0.9	14.3	-
IC121	1.472694	+	2.512778	0.9	13.5	-
IC122	1.470306	-	14.838889	0.5	15.0	-
IC123	1.480944	+	2.446944	0.4	14.3	-
IC124	1.485833	-	1.936944	0.0	0.0	-
IC125	1.488417	-	13.279444	0.5	15.4	-
IC126	1.496583	-	1.983333	0.9	14.4	-
IC127	1.496500	-	6.979722	1.6	13.7	-
IC128	1.523306	-	12.624444	0.9	14.6	-
IC129	1.525333	-	12.653889	1.4	14.1	-
IC130	1.524639	-	15.591111	0.5	14.2	-
IC131	1.553083	+	30.752778	0.3	14.0	-
IC132	1.554444	+	30.945000	0.7	13.5	-
IC133	1.554389	+	30.884722	0.4	14.0	-
IC134	1.557000	+	30.899444	0.0	0.0	-
IC135	1.570972	+	30.619444	0.4	14.0	-
IC136	1.570417	+	30.561111	0.3	14.5	-
IC137	1.560778	+	30.523056	0.6	14.0	-
IC138	1.550556	-	0.689722	1.1	13.9	-
IC139	1.566472	+	30.575833	0.5	14.0	-
IC140	1.566139	+	30.550556	0.5	13.0	-
IC141	1.547694	-	14.814722	1.3	13.6	-
IC142	1.565500	+	30.756111	0.5	14.2	-
IC143	1.569750	+	30.778056	0.3	13.7	-
IC144	1.628000	-	13.314167	0.7	14.9	-
IC145	1.644028	+	0.741389	0.7	14.9	-
IC146	1.644389	-	17.831111	0.7	14.4	-
IC147	1.666500	-	14.862778	0.9	14.5	-
IC148	1.707472	+	13.976667	3.5	12.8	-
IC149	1.707111	-	16.300000	1.1	14.3	-
IC150	1.716000	+	4.199167	1.0	13.9	-
IC151	1.732611	+	13.202500	0.0	0.0	-
IC152	1.733667	+	13.074444	0.4	14.9	-
IC153	1.809194	+	12.613889	0.8	13.1	-
IC154	1.754500	+	10.649722	1.5	14.0	-
IC155	1.792222	+	60.611667	0.0	0.0	-
IC156	1.758083	+	10.553333	1.5	13.5	-
IC157	1.819889	+	12.853333	1.3	14.1	-
IC158	1.764833	-	6.935278	0.5	15.1	-
IC159	1.773611	-	8.636667	1.5	13.2	-
IC160	1.774861	-	13.247222	1.3	13.9	-
IC161	1.812167	+	10.508333	0.8	13.8	-
IC162	1.814833	+	10.522222	1.4	12.7	-
IC163	1.820833	+	20.710556	1.8	13.0	-
IC164	1.819000	-	3.904444	1.4	13.1	-
IC165	1.837250	+	27.646111	3.2	12.4	-
IC166	1.872778	+	61.853333	8.0	11.7	-
IC167	1.852361	+	21.912500	2.7	13.1	-
IC168	1.840972	-	8.523611	0.9	14.2	-
IC169	1.844250	-	12.679167	0.5	15.3	-
IC170	1.865944	-	8.517222	0.3	14.4	-
IC171	1.919528	+	35.281944	1.4	12.2	-
IC172	1.915056	+	0.811667	0.4	14.0	-
IC173	1.932528	+	1.284722	0.9	14.0	-
IC174	1.937806	+	3.762500	1.3	13.3	-
IC175	1.938556	+	1.332500	0.4	14.3	-
IC176	1.948194	-	2.018889	1.9	14.0	-
IC177	1.950167	-	0.089167	0.4	14.6	-
IC178	1.981917	+	36.675000	1.3	13.3	-
IC179	2.003194	+	38.021389	1.6	12.6	-
IC180	2.000083	+	23.605000	0.8	14.6	-
IC181	2.000639	+	23.659167	0.5	14.7	-
IC182	1.997694	+	7.412222	0.9	13.7	-
IC183	1.992750	-	5.347222	1.3	13.9	-
IC184	1.997528	-	6.840556	1.1	13.8	-
IC185	2.001694	-	1.527778	0.5	15.4	-
IC186	2.006639	-	1.553333	0.6	14.5	-
IC186	2.007028	-	1.550556	0.3	14.6	-
IC187	2.025194	+	26.481111	2.0	12.9	-
IC187	2.026056	+	26.484722	0.7	13.0	-
IC188	2.029583	+	26.546944	0.6	13.8	-
IC189	2.031361	+	23.551111	0.7	13.9	-
IC190	2.035333	+	23.550278	0.8	14.1	-
IC191	2.041500	+	18.372778	1.3	12.7	-
IC192	2.042333	+	16.014167	0.9	13.5	-
IC193	2.041944	+	11.093056	1.7	13.4	-
IC194	2.051417	+	2.613889	1.5	14.4	-
IC195	2.062389	+	14.709167	1.5	13.0	-
IC196	2.063806	+	14.739167	2.8	12.9	-
IC197	2.068028	+	2.786667	1.0	13.5	-
IC198	2.100861	+	9.296111	1.1	13.8	-
IC199	2.105389	+	9.227222	1.4	14.0	-
IC200	2.090722	+	31.175556	2.1	12.9	-
IC201	2.120889	+	9.115556	0.6	16.0	-
IC202	2.124611	+	9.168611	1.4	14.3	-
IC203	2.124889	+	9.123056	0.6	16.1	-
IC204	2.124167	-	1.429722	0.3	14.7	-
IC205	2.124333	-	2.091944	0.9	13.6	-
IC206	2.158556	-	6.968889	1.0	14.2	-
IC207	2.160944	-	6.922500	2.2	13.9	-
IC208	2.141056	+	6.394722	1.3	13.4	-
IC209	2.149611	-	7.059167	1.7	13.1	-
IC210	2.157861	-	9.679722	2.3	13.1	-
IC211	2.185556	+	3.851944	2.3	13.2	-
IC212	2.227278	+	16.594444	0.9	14.7	-
IC213	2.234500	+	16.456111	1.9	13.8	-
IC214	2.234917	+	5.176111	0.7	14.2	-
IC215	2.235917	-	6.806111	1.1	14.8	-
IC216	2.265361	-	2.014722	0.3	14.3	-
IC217	2.269611	-	11.925556	2.2	13.6	-
IC218	2.285333	+	1.282500	0.8	14.9	-
IC219	2.310750	-	6.903056	1.0	13.4	-
IC220	2.319972	-	12.781389	0.9	14.5	-
IC221	2.378000	+	28.256944	1.6	13.0	-
IC222	2.379972	+	11.638611	0.8	14.5	-
