NGC101	0.398472	-	32.536389	2.1	12.8	-
NGC102	0.410139	-	13.956111	1	13.5	-
NGC103	0.421472	+	61.321944	5	9.8	-
NGC104	0.401444	-	72.080278	50	4	-
NGC105	0.421361	+	12.883611	1.1	13.2	-
NGC106	0.412139	-	5.148889	0.9	13.7	-
NGC107	0.428361	-	8.283333	0.9	14.2	-
NGC108	0.433250	+	29.211944	2.3	12.1	-
NGC109	0.437389	+	21.807778	1.1	13.7	-
NGC110	0.457056	+	71.390556	19		-
NGC111	1.928361	-	3.066111	0.9	14.4	-
NGC112	0.446889	+	31.702778	1	13.6	-
NGC113	0.448528	-	2.500556	1.4	13.1	-
NGC114	0.449500	-	1.785833	0.8	13.8	-
NGC115	0.446111	-	33.676111	1.9	13.1	-
NGC116	0.452500	-	7.938333			-
NGC117	0.453028	+	1.334167	0.7	14.3	-
NGC118	0.454472	-	1.779722	0.7	13.6	-
NGC119	0.449333	-	56.977778	1	13	-
NGC120	0.458361	-	1.513611	1.5	13.4	-
NGC121	0.446417	-	71.536667	1.5	11.2	-
NGC122	0.460639	-	1.640000			-
NGC123	0.460056	-	1.599444			-
NGC124	0.464528	-	1.810278	1.4	13	-
NGC125	0.480639	+	2.838611	1.8	12.1	-
NGC126	0.485583	+	2.811111	0.8	14.2	-
NGC127	0.486750	+	2.873333	0.8	14.8	-
NGC128	0.487472	+	2.865000	2.5	11.8	-
NGC129	0.499444	+	60.211667	12	6.5	-
NGC130	0.488500	+	2.871111	0.7	14.4	-
NGC131	0.493917	-	33.260278	1.8	13.2	-
NGC132	0.502944	+	2.093056	1.9	12.6	-
NGC133	0.521667	+	63.351667	3	9.4	-
NGC134	0.506056	-	33.245000	8.4	10.4	-
NGC135	0.529417	-	13.337778	0.5	15.1	-
NGC136	0.525194	+	61.509167	1.5		-
NGC137	0.516139	+	10.208611	1.2	12.8	-
NGC138	0.516444	+	5.159722	1.3	13.7	-
NGC139	0.518472	+	5.078333	0.8	14.4	-
NGC140	0.522333	+	30.791944	1.5	13.2	-
NGC141	0.521556	+	5.179444	0.8	14.5	-
NGC142	0.518861	-	22.619444	1.1	13.8	-
NGC143	0.520972	-	22.560000	1	14.4	-
NGC144	0.522417	-	22.646111	0.8	13.8	-
NGC145	0.529333	-	5.153889	1.8	12.7	-
NGC146	0.550833	+	63.301667	5	9.1	-
NGC147	0.553250	+	48.507222	13.2	9.5	-
NGC148	0.570944	-	31.786111	2	12.2	-
NGC149	0.563944	+	30.723611	1.2	13.7	-
NGC150	0.571028	-	27.805000	3.9	11.4	-
NGC151	0.567444	-	9.705000	3.8	11.6	-
NGC152	0.549139	-	73.116111	1.7		-
NGC153	0.567444	-	9.705000	3.8	11.6	-
NGC154	0.572056	-	12.655833	1.1	14	-
NGC155	0.577778	-	10.766111	1.7	13.3	-
NGC156	0.576611	-	8.339444			-
NGC157	0.579556	-	8.396111	3.5	10.4	-
NGC158	0.584861	-	8.345000			-
NGC159	0.576500	-	55.789722	1.4	13.7	-
NGC160	0.601139	+	23.958056	2.3	12.7	-
NGC161	0.592750	-	2.848333	1.3	13.4	-
NGC162	0.602556	+	23.962222			-
NGC163	0.599917	-	10.121389	1.6	12.7	-
NGC164	0.609139	+	2.750000	0.4	15.8	-
NGC165	0.608028	-	10.106389	1.6	13.1	-
NGC166	0.596889	-	13.610556	0.9	14.3	-
NGC167	0.589694	-	23.374722	1	13.7	-
NGC168	0.610722	-	22.593611	1.2	14	-
NGC169	0.614361	+	23.991389	2.6	12.4	-
NGC169A	0.614500	+	23.985000	0.4	14	-
NGC170	0.612750	+	1.886389	0.4	14.4	-
NGC171	0.622639	-	19.934444	2.1	12.2	-
