LdN-1	16.480960	-	16.109431	  -1.000	99	-
LdN-2	18.120755	-	31.493177	  -1.000	99	-
LdN-3	18.053870	-	30.998045	  -1.000	99	-
LdN-4	17.041697	-	22.204227	  -1.000	99	-
LdN-5	17.270969	-	24.421317	  -1.000	99	-
LdN-6	17.150464	-	23.229882	  -1.000	99	-
LdN-7	17.476783	-	26.289897	  -1.000	99	-
LdN-8	16.773841	-	19.256209	  -1.000	99	-
LdN-9	17.167138	-	23.228698	  -1.000	99	-
LdN-10	17.963477	-	30.104619	  -1.000	99	-
LdN-11	17.135332	-	22.897619	  -1.000	99	-
LdN-12	17.970150	-	30.120800	  -1.000	99	-
LdN-13	17.066696	-	22.169131	  -1.000	99	-
LdN-14	17.418134	-	25.544111	  -1.000	99	-
LdN-15	17.073366	-	22.168660	  -1.000	99	-
LdN-16	17.267496	-	24.054893	  -1.000	99	-
LdN-17	17.133604	-	22.731071	  -1.000	99	-
LdN-18	17.150339	-	22.896554	  -1.000	99	-
LdN-19	17.485019	-	26.039299	  -1.000	99	-
LdN-20	17.141941	-	22.730480	  -1.000	99	-
LdN-21	17.484979	-	25.939300	  -1.000	99	-
LdN-22	16.782064	-	18.922305	  -1.000	99	-
LdN-23	17.287471	-	23.970129	  -1.000	99	-
LdN-24	17.292494	-	24.019772	  -1.000	99	-
LdN-25	17.541764	-	26.185202	  -1.000	99	-
LdN-26	18.086982	-	30.495623	  -1.000	99	-
LdN-27	16.463964	-	15.110558	  -1.000	99	-
LdN-28	17.317515	-	24.051314	  -1.000	99	-
LdN-29	18.113704	-	30.627010	  -1.000	99	-
LdN-30	17.217097	-	23.058475	  -1.000	99	-
LdN-31	16.832146	-	19.085507	  -1.000	99	-
LdN-32	17.183594	-	22.644188	  -1.000	99	-
LdN-33	16.689841	-	17.428628	  -1.000	99	-
LdN-34	17.802573	-	28.016306	  -1.000	99	-
LdN-35	17.941365	-	29.072882	  -1.000	99	-
LdN-36	17.478022	-	25.206457	  -1.000	99	-
LdN-37	17.334125	-	23.883455	  -1.000	99	-
LdN-38	17.188536	-	22.477166	  -1.000	99	-
LdN-39	17.193543	-	22.493476	  -1.000	99	-
LdN-40	17.953034	-	29.072032	  -1.000	99	-
LdN-41	18.086765	-	29.995630	  -1.000	99	-
LdN-42	17.551575	-	25.701152	  -1.000	99	-
LdN-43	16.574257	-	15.836479	  -1.000	99	-
LdN-44	17.334061	-	23.716790	  -1.000	99	-
LdN-45	17.518101	-	25.370234	  -1.000	99	-
LdN-46	17.216910	-	22.558481	  -1.000	99	-
LdN-47	16.831974	-	18.585513	  -1.000	99	-
LdN-48	17.969672	-	29.004150	  -1.000	99	-
LdN-49	18.036553	-	29.499283	  -1.000	99	-
LdN-50	17.417680	-	24.377461	  -1.000	99	-
LdN-51	17.210161	-	22.342292	  -1.000	99	-
LdN-52	17.536434	-	25.352243	  -1.000	99	-
LdN-53	17.385822	-	23.913078	  -1.000	99	-
